REGIÃO,ESTADO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Região Nordeste,Sergipe,1135904,1170800,1206324,1242096,1278519,1314628,1349477,1383790,1417551,1450781,1482911,1513630,1545297,1576786,1608360,1639916,1671527,1703246,1735168,1767466,1800085,1827567,1854699,1881196,1906896,1931655,1955364,1977948,1999375,2019679,2038941,2057205,2074528,2091019,2106772,2121874,2136412,2150450,2164033,2177189,2189941,2202300,2214259,2225793,2236859,2247411,2257395,2266754,2275446,2283431,2290676,2297144
Região Nordeste,Bahia,9419377,9662141,9909274,10158129,10411519,10662721,10905157,11143861,11378729,11609906,11833426,12065837,12188959,12311385,12434146,12556838,12679740,12803067,12927177,13052753,13179577,13362019,13542137,13718038,13888650,14053014,14210406,14360329,14502573,14637364,14765239,14886482,15001484,15110961,15215536,15315791,15412303,15505494,15595669,15683003,15767657,15849708,15929096,16005665,16079129,16149179,16215457,16277587,16335288,16388300,16436394,16479330
Região Sudeste,MinasGerais,13329070,13575270,13825902,14078282,14335260,14590018,14835886,15077970,15316164,15550615,15777299,15993315,16220463,16446328,16672808,16899162,17125905,17353430,17582401,17814076,18048054,18296554,18541886,18781477,19013863,19237738,19452117,19656323,19850070,20033665,20207839,20372981,20529623,20678738,20821177,20957732,21089188,21216120,21338946,21457900,21573205,21684965,21793097,21897390,21997452,22092866,22183141,22267766,22346359,22418566,22484074,22542555
Região Sudeste,EspíritoSanto,2015856,2073435,2132050,2191074,2251173,2310753,2368254,2424870,2480576,2535406,2588421,2638835,2692506,2745874,2799388,2852872,2906448,2960208,3014310,3069052,3124337,3169749,3214583,3258367,3300834,3341747,3380923,3418241,3453647,3487199,3519028,3549207,3577833,3605083,3631113,3656068,3680091,3703287,3725733,3747471,3768543,3788966,3808727,3827786,3846072,3863509,3880006,3895471,3909833,3923029,3935000,3945687
Região Sudeste,RiodeJaneiro,11249756,11413137,11579460,11746941,11917475,12086535,12249696,12410346,12568414,12723998,12874428,13014825,13180910,13346057,13511655,13677160,13842949,14009311,14176729,14346124,14517204,14704081,14888577,15068755,15243514,15411874,15573092,15726659,15872361,16010429,16141412,16265603,16383401,16495539,16602656,16705349,16804206,16899663,16992030,17081487,17168199,17252245,17333562,17411993,17487242,17558995,17626885,17690525,17749628,17803930,17853193,17897172
Região Sudeste,SãoPaulo,24948094,25605472,26274685,26948555,27634712,28314945,28971430,29617818,30253815,30879821,31485089,32066041,32650881,33232425,33815548,34398346,34982145,35567960,36157494,36753995,37356424,37860483,38358115,38844101,39315471,39769582,40204428,40618637,41011634,41384039,41737337,42072308,42390043,42692505,42981429,43258418,43525062,43782535,44031674,44272959,44506843,44733538,44952873,45164421,45367387,45560924,45744040,45915693,46075111,46221575,46354451,46473074
Região Sul,Paraná,7601173,7692568,7785608,7879297,7974692,8069264,8160536,8250402,8338825,8425858,8510008,8583803,8701353,8818239,8935444,9052583,9169924,9287670,9406163,9526056,9647141,9777185,9905572,10030955,10152566,10269724,10381913,10488777,10590169,10686247,10777396,10863817,10945791,11023825,11098366,11169828,11238621,11305047,11369324,11431575,11491916,11550402,11606990,11661568,11713932,11763864,11811107,11855393,11896522,11934309,11968590,11999195
Região Sul,SantaCatarina,3614514,3706547,3800236,3894578,3990639,4085871,4177779,4268272,4357312,4444952,4529689,4609901,4697603,4784810,4872254,4959650,5047195,5135043,5223449,5312899,5403238,5492784,5581188,5667524,5751263,5831935,5909185,5982770,6052586,6118743,6181506,6241014,6297460,6351192,6402520,6451726,6499096,6544836,6589095,6631960,6673509,6713781,6752746,6790328,6826385,6860767,6893297,6923791,6952112,6978131,7001737,7022810
Região Sul,RioGrandedoSul,7745084,7887295,8032066,8177845,8326282,8473436,8615455,8755288,8892874,9028298,9159235,9288227,9397527,9506211,9615190,9724109,9833214,9942696,10052874,10164353,10276940,10356684,10435412,10512297,10586870,10658713,10727507,10793038,10855212,10914128,10970021,11023015,11073282,11121133,11166842,11210663,11252848,11293581,11332996,11371168,11408170,11444034,11478734,11512202,11544312,11574931,11603900,11631057,11656277,11679449,11700470,11719237
Região Centro-Oeste,MatoGrossodoSul,1364501,1405333,1446899,1488756,1531375,1573625,1614402,1654550,1694054,1732937,1770532,1807465,1839382,1871119,1902942,1934747,1966608,1998578,2030751,2063304,2096181,2129260,2161918,2193812,2224746,2254547,2283085,2310268,2336059,2360498,2383684,2405667,2426518,2446368,2465329,2483506,2501005,2517902,2534252,2550087,2565436,2580313,2594707,2608590,2621910,2634611,2646629,2657893,2668355,2677967,2686687,2694472
Região Centro-Oeste,MatoGrosso,1134479,1219087,1305216,1391947,1480258,1567806,1652299,1735491,1817347,1897916,1975816,2055048,2107140,2158938,2210877,2262788,2314787,2366966,2419476,2472606,2526265,2585765,2644506,2701873,2757515,2811118,2862448,2911343,2957733,3001692,3043396,3082937,3120442,3156146,3190251,3222947,3254422,3284815,3314224,3342706,3370314,3397073,3422964,3447935,3471894,3494739,3516355,3536617,3555435,3572724,3588409,3602411
Região Centro-Oeste,Goiás,3109175,3198706,3289848,3381626,3475076,3567719,3657128,3745162,3831781,3917039,3999473,4073206,4180857,4287901,4395236,4502511,4609970,4717800,4826316,4936113,5047001,5157046,5265688,5371787,5474695,5573836,5668770,5759200,5844998,5926300,6003431,6076562,6145928,6211961,6275039,6335510,6393723,6449934,6504325,6557002,6608063,6657555,6705440,6751624,6795935,6838188,6878165,6915640,6950444,6982419,7011429,7037326
Região Centro-Oeste,DistritoFederal,1172582,1214258,1256685,1299407,1342908,1386033,1427654,1468633,1508954,1548642,1587015,1621458,1670943,1720149,1769489,1818802,1868199,1917766,1967649,2018121,2069094,2136399,2202846,2267737,2330678,2391313,2449376,2504684,2557160,2606885,2654059,2698787,2741213,2781600,2820178,2857163,2892768,2927147,2960413,2992631,3023861,3054130,3083417,3111665,3138766,3164608,3189059,3211979,3233265,3252822,3270564,3286404

